共有 旅館 298 家?? 查詢日期：103年9月10日,,,,,,,,,,,,,,,,,,,
專用標,名稱,英文名稱,日文名稱,電話,傳真,營業地址,英文營業地址,日文營業地址,現狀,網址,E-mail,負責人/經營者,經營類型/特色,房間數,參考房價,交通資訊及觀光景點,核准設立日期,最近裝修日期,照片(上傳日期)
57,愛萊時尚旅館,AI-LAI FASHION HOTEL ,愛萊時尚旅館,04 - 23722161 ,04 - 23722165 ,臺中市西區五權路2-55號,"No.2-55, Wuquan Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?五權路2-55? ,合法 營業,,,林學志,"一般旅館, ,",78 間,1200 ~ 3360,,2004/2/15,,5張(2014/09/05)
111,麗加園邸酒店,Li Chia Royal Garden Hotel ,麗加園邸酒店?　??　????,04 - 23057581 ,04 - 23057496 ,"臺中市西區公益路111號1-5樓及模範街37,39號1-5樓","No.111, Gongyi Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?公益路111? ,合法 營業,,,鄭光廷,"商務旅館, ,",66 間,1800 ~ 3000,,2004/3/25,,3張(2014/09/05)
82,晶品大飯店,Jin Pin Hotel ,晶品大飯店??　??　???,04 - 23028008 ,04 - 23012330 ,臺中市西區向上路1段95號11-14樓,"11-14F., No.95, Sec. 1, Xiangshang Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?向上路一段95?11~14F ,合法 營業,,,黃文?,"商務旅館, ,",51 間,2500 ~ 4000,,2004/3/15,,3張(2014/09/05)
28,香榭大飯店,CHAMPS HOTEL ,香榭大飯店?????　???,04 - 23221775 ,04 - 23227335 ,"臺中市西區西屯路一段173,175,175-1號","No.175, Sec. 1, Xitun Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?西屯路一段173、175、175-1? ,合法 營業,,,林若玲,"商務旅館, ,",50 間,1200 ~ 2600,,2004/1/15,,
62,奧大利汽車旅館,Italy Motel ,奧大利汽車旅館,04 - 23780969 ,04 - 23780213 ,臺中市西區忠明南路206號,"No.206, Zhongming S. Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?忠明南路206? ,合法 營業,,,王陳金雪,"汽車旅館, ,",41 間,3200 ~ 5200,,2004/2/25,,3張(2014/09/09)
321,十興商旅,Shi-Hsing Corporation ,十興開?株式有限?社,04 - 23025066 ,? ,臺中市西區忠明南路325、333號及325號2樓之1至2樓之8,"No.333, Zhongming S. Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?忠明南路333番 ,合法 營業,,summerthotel@gmail.com,蕭宜佳,"一般旅館,,",21 間,1800 ~ 5500,,2014/4/1,2014/3/14,
309,承億文旅台中鳥日子(3星),Chanyee Hotelday Designer Hotels ,承億文旅??????????,04 - 23292266 ,04 - 23290560 ,臺中市西區忠明南路98號B2-7樓,"No.98, Zhongming S. Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?忠明南路98? ,合法 營業,http://www.hotelday.com.tw,stella.Hung@Hotelday.com.tw,戴淑玲,"一般旅館,商務旅館,,",72 間,4500 ~ 7800,鄰近觀光景點:草悟道.科博館.美術館.秋紅谷,2013/7/3,,
189,昭盛52行館,52 Hotel ,52 Hotel,04 - 23175000 ,04 - 23175001 ,臺中市西區忠明路52號,"No.52, Zhongming Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?忠明路52號 ,合法 營業,http://www.52hotel.com.tw,service@52hotel.com.tw,賴忠星,"商務旅館, ,",124 間,4000 ~ 8000,,2006/6/6,,5張(2014/09/09)
314,昭盛52行館（二館）,52 Hotel ,52 Hotel,04 - 23143188 ,04 - 23138997 ,臺中市西區忠明路54號1-8樓,"1-8F., No.54, Zhongming Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?忠明路54號 ,合法 營業,http://www.52hotel.com.tw,service@52hotel.com.tw,賴忠明,"一般旅館,商務旅館,,",40 間,2500 ~ 6600,行館坐落臺中主要幹道－臺灣大道與忠明路交叉口，鄰近SOGO百貨及精明一街商圈，約10分鐘即可到達高速公路交流道。至臺中清泉崗機場約40分鐘車程。至臺中火車站約20分鐘車程。至高鐵烏日站約30分車程。鄰近SOGO百貨、精明一街露天咖啡街、新光三越百貨、科學博物館、台中美術館、逢甲夜市、Tiger City華納威秀影城。,2013/7/26,2013/5/24,5張(2014/09/05)
328,寬廣酒店,Zhuyin Hotel ,寬廣酒店,04 - 22581559 ,? ,"臺中市西區美村路1段22號4樓之1至104,5樓之1至104","4-5F., No.22, Sec. 1, Meicun Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?美村路1段22?4-5樓 ,合法 營業,,,葉耕誦,"一般旅館,,",57 間,2000 ~ 11200,位於市中心，鄰近台中自然科學博物館、國立台灣美術館及秋紅谷生態公園，附近有百貨公司、巴士及客運轉運站,2014/7/4,,
33,美之旅大飯店,Love Trip Hotel ,美之旅大飯店??　????　???,04 - 23024330 ,04 - 23215985 ,"臺中市西區美村路1段269號1,3-7樓","No.269, Sec. 1, Meicun Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?美村路1段269? ,合法 營業,,,張泳富,"一般旅館, ,",60 間,1100 ~ 1870,,2004/2/15,,
331,馥格堡酒店,Fu Ge Bao Hotel ,馥格堡酒店,04 - 22591229 ,? ,臺中市西區美村路一段22號3樓之1至3樓之111,"3F., No.22, Sec. 1, Meicun Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?美村路一段22?3樓 ,合法 營業,,,周月煌,"一般旅館,,",41 間,2000 ~ 9800,位於市中心、鄰近台中自然科學博物館、國立臺灣美術館及秋紅谷生態公園，附近有百貨公司、巴士及客運轉運站,2014/9/5,2014/6/4,
192,亞緻大飯店(5星),Hotel One ,?緻大飯店,04 - 23031234 ,04 - 37026666 ,"臺中市西區英才路530,532號1樓,530號24樓之1,25樓,27,30至44樓","No.532, Yingcai Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)","台中市西?英才路530,532? 1F ",合法 營業,http://taichung.hotelone.com.tw/chinese-trad/,service@hotelone.com.tw,周賴秀端,"商務旅館, ,",202 間,9000 ~ 75000,,2006/10/30,,3張(2014/09/09)
30,金典商旅,The Splendor Hotel ,金典商旅,04 - 23288000 ,04 - 23246104 ,臺中市西區健行路1049號17樓及19樓等32戶,"17F., No.1049, Jianxing Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?健行路1049?17F、19F ,合法 營業,,hotelmail@splendor-taichung.com.tw,王俊賢,"商務旅館, ,",29 間,5200 ~ 11000,40分鐘車程到台中機場，15分鐘車程到台中火車站，近科博館、植物園、SOGO百貨等洽商、購物及休閒娛樂中心,2010/11/12,,
108,漢彌敦大飯店(2星),HAMILTON HOTEL TAICHUNG ,-,04 - 23027890 ,04 - 23016600 ,臺中市西區華美街303-1號,"No.303-1, Huamei St., West District, Taichung City",- ,合法 營業,,,劉乃欣,"一般旅館, ,",46 間,2200 ~ 3500,,2004/3/25,,
308,皇家季節酒店台中館,Royal Seasons Hotel Taichung ,?????－??????,04 - 22052828 ,04 - 22059191 ,臺中市西區臺灣大道二段68號B3-13樓,"No.68, Sec. 2, Taiwan Blvd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?台灣大道二段68? ,合法 營業,http://www.royalseasons.com,rsvn.tc.zk@royalseasons.com,方素蝶,"一般旅館,商務旅館,,",107 間,2520 ~ 7500,,2013/5/21,,
116,台中品商務旅館,台中品商務旅館 ,台中品商務旅館,04 - 22060591 ,04 - 24739590 ,臺中市西區篤信街26號,台中品商務旅館,台中品商務旅館 ,合法 營業,,,穆靜強,"商務旅館, ,",20 間,1980 ~ 1980,,2008/6/25,,5張(2014/09/05)
176,富比多賓館,FU PIDUO HOTEL ,富比多賓館,04 - 22203145 ,? ,"臺中市南區正義街41號1,3-7樓","No.41, Jhengyi St., South District, Taichung City",台中市南?正義街41? ,合法 營業,,,張洳菁,"一般旅館, ,",30 間,800 ~ 1300,,2005/6/29,,
173,黎閣旅館,LIGER HOTEL ,黎閣旅館,04 - 22851373 ,04 - 22854575 ,臺中市南區忠孝路150號,"No.150, Zhongxiao Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)",台中市南?忠孝路150? ,合法 營業,,,劉維澤,"一般旅館, ,",27 間,880 ~ 1300,,2005/5/16,,3張(2014/08/15)
140,富帝大飯店(1星),Fu Di Hotel ,富帝大飯店,04 - 23726855 ,04 - 23731203 ,臺中市南區南屯路1段279號,"No.279, Sec. 1, Nantun Rd., South District, Taichung City",台中市南?南屯路一段279? ,合法 營業,http://www.fudihotel.com.tw/,service@fudihotel.com.tw,王黃香琴,"一般旅館, ,",42 間,990 ~ 2700,,2004/4/26,,3張(2014/09/05)
181,全一大飯店,CHAMPION HOTEL ,全一大飯店??????　???,04 - 22618618 ,04 - 22618621 ,臺中市南區復興路2段74-18號,"No.74-18, Sec. 2, Fusing Rd., South District, Taichung City",台中市南?復興路二段74-18? ,合法 營業,,,林?錦,"一般旅館, ,",65 間,700 ~ 1200,,2005/11/29,,
40,愛之船汽車旅館,Love Boat Commerce Motel ,愛?船汽車旅館??　???　????　???,04 - 22210788 ,04 - 22223039 ,臺中市南區復興路3段109巷1至25號,"No.1, Lane 109, Sec. 3, Fusing Rd., South District, Taichung City",台中市南?復興路三段109巷1? ,合法 營業,,,施志明,"汽車旅館, ,",30 間,1000 ~ 2520,,2004/2/15,,
4,鳳城大飯店,FENQ CHENG HOTEL ,鳳城大飯店??　???　???,04 - 22265188 ,04 - 22241772 ,臺中市南區復興路3段372號,"No.372, Sec. 3, Fusing Rd., South District, Taichung City",台中市南?復興路三段372? ,合法 營業,,,李坤銘,"商務旅館, ,",51 間,880 ~ 1860,,2004/1/15,,
182,春天國際旅館,Spring International motel ,春??際????,04 - 22638866 ,04 - 22638855 ,臺中市南區德祥街86號,"No.86, Dexiang St., South Dist., Taichung City 402, Taiwan (R.O.C.)",台中市南??祥街86? ,合法 營業,,,洪國華,"汽車旅館, ,",25 間,4980 ~ 7980,,2005/12/23,,3張(2014/09/09)
305,來來商旅,LAI LAI HOTEL ,來來商旅,04 - 22298282 ,04 - 22299090 ,"臺中市北區三民路三段125號B1,1,5,9樓","B1,1,5,9F., No.125, Sec. 3, Sanmin Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?三民路三段125? ,合法 營業,http://www.lailaihotel.com.tw,,張宏杰,"一般旅館,商務旅館,,",74 間,2430 ~ 16800,,2013/3/19,2013/2/25,3張(2014/09/05)
90,北海大飯店,NORTH SEA HOTEL ,北海大飯店,04 - 22054161 ,04 - 22060150 ,臺中市北區大雅路184之4及之5號,"No.184-4, Daya Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?大雅路184-5? ,合法 營業,,,陳陽輝,"一般旅館, ,",30 間,530 ~ 810,,2004/3/15,,3張(2014/09/09)
137,仁美時尚大飯店,Ren Mei Fashion Hotel ,仁美?????? ???,04 - 22080101 ,04 - 22084588 ,臺中市北區大雅路30號,"No.30, Daya Rd., North District, Taichung City 404, Taiwan (R.O.C.)",台?台中市北?大雅路30? ,合法 營業,,,葉寅森,"一般旅館, ,",48 間,2360 ~ 7800,,2004/4/26,,
43,簡愛汽車旅館,JANE EYRE MOTEL ,簡愛汽車旅館,04 - 22927878 ,04 - 22927799 ,臺中市北區山西路1段86號,"No.86, Sec. 1, Shanxi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?山西路一段86? ,合法 營業,,,方瑞堅,"汽車旅館, ,",33 間,1480 ~ 2680,,2004/2/15,,
100,高苑旅館(中山店),Kao Yuan Hotel (Jhongshan Store) ,高苑旅館(中山店),04 - 22298755 ,04 - 22298548 ,臺中市北區中山路444號及原子街20、22號,"No.444, Zhongshan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?中山路444? ,合法 營業,http://www.kaoyuan.com.tw,,高清貴,"商務旅館, ,",28 間,1500 ~ 5500,,2004/3/25,,3張(2014/09/05)
171,優勝美地汽車旅館中華會館,Yosemite Motel ,優勝美地汽車旅館中華會館,04 - 22051199 ,04 - 22075799 ,臺中市北區中華路2段197號,"No.197, Sec. 2, Zhonghua Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",優勝美地汽車旅館中華會館 ,合法 營業,,,鄭梅慧,"汽車旅館, ,",26 間,2480 ~ 9580,,2005/8/23,,
155,太吉利旅社,無 ,太吉利旅社,04 - 22018607 ,? ,臺中市北區五常街30號,無,台中市北?五常街30? ,合法 營業,,,劉澄清,"一般旅館, ,",22 間,500 ~ 800,,2004/4/26,,
143,金滿家大飯店,JIN MAN JIA HOTEL ,金滿家大飯店,04 - 22012526 ,04 - 22012556 ,臺中市北區五義街167號,"No.167, Wuyi St., North District, Taichung City 404, Taiwan (R.O.C.)",台中市北?五義街167? ,合法 營業,,,劉張繡鳳,"一般旅館, ,",35 間,900 ~ 1600,,2004/4/26,,
153,嘉濱大飯店,WASHINGTON HOTEL ,嘉濱大飯店,04 - 22022175 ,04 - 22022377 ,臺中市北區五權路276號,"No.276, Wuquan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?五?路276? ,合法 營業,,,劉嘉濠,"一般旅館, ,",48 間,790 ~ 1780,,2004/4/26,,3張(2014/09/05)
19,富豪國際大飯店,Hotel Regal International ,富豪?際???,04 - 22023990 ,04 - 22012490 ,臺中市北區五權路317號6-12樓,"1,6-12F., No.317, Wuquan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?五?路317?1、6~12F ,合法 營業,http://www.rhotel.com.tw,wu7733wu@hotmail.com,郭歆義,"商務旅館, ,",77 間,3000 ~ 8000,,2004/1/15,,
154,創意時尚旅店,i-Deal Hotel ,創意時尚旅店,04 - 22022666 ,04 - 22026182 ,臺中市北區五權路334號1至5樓,"1-5F., No.334, Wuquan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?五?路334?1~5F ,合法 營業,http://www.i-dealhotel.com/,service18@rate-inn.com,徐玉君,"一般旅館, ,",71 間,1580 ~ 5000,,2004/4/26,,5張(2014/09/05)
32,聯欣大飯店,LAN SHINE HOTEL ,聯欣大飯店,04 - 22024141 ,? ,臺中市北區五權路356號1-4樓,"1-4F., No.356, Wuquan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?五?路356?1~4F ,合法 營業,,,林秋貴,"一般旅館, ,",34 間,500 ~ 900,,2004/2/15,,
190,皇家大飯店,ROYAL HOTEL ,皇家大飯店,04 - 22013456 ,04 - 22029517 ,臺中市北區五權路377號8至11樓,"No.377, Wuquan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?五?路377?8~11F ,合法 營業,,,吳秋密,"商務旅館, ,",50 間,1800 ~ 4800,,2006/8/31,,3張(2014/09/05)
113,大陽大飯店,SUN HOTEL ,大陽大飯店,04 - 22013088 ,04 - 22025445 ,臺中市北區公園路188號9-10樓,"9-10F., No.188, Gongyuan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?公園路188?9~10F ,合法 營業,,,簡嬌娥,"一般旅館, ,",37 間,990 ~ 1950,,2004/3/25,,3張(2014/09/05)
51,金沙汽車旅館,Jin Sha Motel ,金沙汽車旅館,04 - 22083388 ,04 - 22086699 ,臺中市北區太平路201號,"No.201, Taiping Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?太平路201? ,合法 營業,,,邱釗基,"汽車旅館, ,",33 間,4560 ~ 7760,,2004/2/15,,
327,塔木德‧一中館,TALMUD Hotel ,塔木德‧一中館,04 - 22277733 ,04 - 22272211 ,臺中市北區太平路22號3-7樓,"3F., No.22, Taiping Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?太平路22?3F ,合法 營業,http://www.talmud.com.tw,talmud6@outlook.com,許武昭,"一般旅館,,",72 間,2400 ~ 6000,自台中火車站步行約15-20分鐘，車程5-10分鐘 近一中商圈、中華夜市、台中公園、中友百貨,2014/6/20,2014/4/22,
167,儷金商務旅館,REGENT BUSINESS HOTEL ,儷金商務旅館,04 - 22083916 ,? ,臺中市北區太原路1段520號,"No.520, Taiping Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",儷金商務旅館 ,合法 營業,,,張懷文,"商務旅館,,",52 間,1880 ~ 2660,,2005/1/27,,
147,優勝美地汽車旅館太原會館,Yosemite Motel Taiyuan Hall ,優勝美地汽車旅館太原會館,04 - 22963229 ,04 - 22963228 ,臺中市北區太原路2段3號,"No.3, Sec. 2, Taiyuan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?太原路二段3? ,合法 營業,,,鄭梅芬,"汽車旅館,,",27 間,2180 ~ 3680,,2004/4/26,,
179,夏都汽車旅館(2星),Xiadu Motel ,夏都汽車旅館,04 - 22367788 ,04 - 22362255 ,臺中市北區太原路2段68號,"No.68, Sec. 2, Taiyuan Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?太原路二段68? ,合法 營業,http://www.xiadu.com.tw,xiadu-motel@yahoo.com.tw,黃美惠,"汽車旅館, ,",33 間,1880 ~ 5980,,2005/12/8,,3張(2014/09/09)
27,怡東商務旅館(2星),E-Tung Hotel ,怡東商務旅館?　??　???,04 - 22923578 ,04 - 22954576 ,臺中市北區文昌一街10號,"No.10, Wunchang 1st St., North District, Taichung City 404, Taiwan (R.O.C.)",台中市北?文昌一街10? ,合法 營業,http://www.etung.com.tw/,hotel.etung@msa.hinet.net,詹曉東,"商務旅館, ,",73 間,1300 ~ 9600,中清交流道下高速公路，沿中清路往市區方向行進，在中清路與文心路交叉口左轉，遇到第一個紅綠燈（青島路口）右轉，或山西路右轉，前進50公尺轉入文昌一街即可抵達,2004/1/15,,5張(2014/09/05)
150,蜜雪兒汽車旅館,Min Men Hotel ,????????,04 - 22986161 ,04 - 22986198 ,臺中市北區文昌東一街107號,"No.107, Wenchang E. 1st St., North Dist., Taichung City 404, Taiwan (R.O.C.)",第107?東?????·?????、台中文昌 ,合法 營業,,,謝青洋,"汽車旅館, ,",35 間,1280 ~ 2500,,2004/4/26,,3張(2014/09/05)
114,論情汽車旅館,RDEN CHING HOTEL ,論情汽車旅館,04 - 22326818 ,04 - 22326518 ,臺中市北區文昌東三街2-8號,"No.2-8, Wenchang E. 3rd St., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?文昌東三街2-8? ,合法 營業,,,張素貞,"汽車旅館, ,",27 間,1680 ~ 2880,,2004/3/25,,3張(2014/09/09)
87,香奈兒休閒旅館,channelmotel ,香奈兒????旅館,04 - 22970177 ,04 - 22970122 ,臺中市北區北平路1段2號,"No.2, Sec. 1, Beiping Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?北平路一段2? ,合法 營業,,,紀林秀容,"休閒度假旅館,汽車旅館, ,",27 間,2180 ~ 2780,,2004/3/15,,3張(2014/09/05)
152,嘉豪大飯店,OLYMPIC HOTEL ,嘉豪大飯店?????　???,04 - 22212186 ,04 - 22212189 ,臺中市北區成功路437號,"No.437, Chenggong Rd., North District, Taichung City 404, Taiwan (R.O.C.)",台中市北?成功路437? ,合法 營業,,,劉源興,"一般旅館, ,",57 間,800 ~ 3300,,2004/4/26,,
96,東圓賓館,D.U. HOTEL ,東圓賓館,04 - 22270237 ,? ,"臺中市北區成功路443,443-1號均3-7樓","3-7F., No.443, Chenggong Rd., North District, Taichung City","台中市北?成功路443,443-1?3-7F ",合法 營業,,,蔡得源,"一般旅館, ,",48 間,500 ~ 1100,,2004/3/25,,3張(2014/09/05)
31,金座大飯店,CHIN TSO HOTEL ,金座大飯店,04 - 22020505 ,04 - 22020835 ,臺中市北區成功路469號,"No.469, Chenggong Rd., North District, Taichung City",台中市北?成功路469? ,合法 營業,,,余雁銓,"商務旅館, ,",30 間,960 ~ 1460,,2004/2/15,,3張(2014/09/05)
95,塔木德國際旅館,Talmud Business Hotel ,塔木德國際旅館,04 - 22066633 ,04 - 22067570 ,臺中市北區柳川西路4段1號10樓,"10F., No.1, Sec. 4, Liuchuan W. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?柳川西路4段1?10F ,合法 營業,http://www.talmud.com.tw,order.talmud@kimo.com,郭?雄,"一般旅館, ,",33 間,1360 ~ 3720,交通資訊:公車有 NO.81 .5 .131 路線 鄰近台中公園.中華夜市及一中購物商圈。,2004/3/25,,5張(2014/09/05)
291,塔木德˙公園館,Talmud Business Hotel-Gong ,塔木德˙公園館,04 - 23066633 ,04 - 22067570 ,臺中市北區柳川西路4段1號12樓1號、2號,"No.1, No.2, 12F., No.1, Sec.4, Liuchuan W. Rd. North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?柳川西路4段1?12F ,合法 營業,http://www.talmud.com.tw,order.talmud@kimo.com,郭?雄,"一般旅館,,",31 間,1360 ~ 4320,交通資訊:公車有 NO.81 .5 .131 路線 鄰近台中公園.中華夜市及一中購物商圈。,2011/10/6,2011/5/24,5張(2014/09/05)
151,百老匯賓館,BROADWAY HOTEL ,百老匯賓館,04 - 22027979 ,? ,臺中市北區原子街127巷21-1號4樓,"4F., No.21-1, Lane 127, Yuanzih St., North District, Taichung City",台中市北?原子街127巷21-1?4F ,合法 營業,,,呂廖盆,"一般旅館, ,",7 間,800 ~ 1200,,2004/4/26,,
24,麗心汽車旅館,Li Hsin Motel ,麗心汽車旅館,04 - 22983377 ,04 - 22936798 ,臺中市北區陝西路117號,"No.117, Shansi Rd., North District, Taichung City",台中市北?陝西路117? ,合法 營業,,,王秋菊,"汽車旅館, ,",25 間,2040 ~ 3840,,2004/1/15,,3張(2014/09/05)
41,仁美商務飯店,Ren Mei Hotel ,仁美商務飯店,04 - 22082299 ,04 - 22062831 ,臺中市北區健行路585號,"No.585, Jianxing Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?健行路585?1~7F ,合法 營業,,,葉耕誦,"一般旅館,商務旅館, ,",60 間,2160 ~ 9200,,2010/8/25,,5張(2014/09/05)
138,鹿王旅館,LUWANG HOSTEL ,鹿王旅館,04 - 22056871 ,04 - 22058260 ,臺中市北區健行路590號4-7樓,"4-7F., No.590, Jiansing Rd., North District, Taichung City",台中市北?健行路590?4~7F ,合法 營業,,,黃耀輝,"一般旅館, ,",32 間,900 ~ 1500,,2004/8/20,,
7,新福大商務飯店,SIN FU DA HOTEL ,新福大商務飯店??　?　?　???,04 - 22359311 ,04 - 22380484 ,臺中市北區崇德路1段647號,"No.647, Sec. 1, Chongde Rd., North District, Taichung City 404, Taiwan (R.O.C.)",台中市北?崇?路一段647? ,合法 營業,http://www.sinfu.com.tw,,林士盛,"商務旅館, ,",43 間,1260 ~ 2080,,2004/1/15,,3張(2014/09/03)
55,奇異果快捷旅店（逢甲）,KIWI EXPRESS HOTEL(Feng Chia) ,????????????,04 - 22927676 ,04 - 22955679 ,臺中市北區華美街2段312號,"No.312, Sec. 2, Huamei St., North District, Taichung City",台中市北?華美街二段312? ,合法 營業,http://www.rs-kiwihotel.com,service27@rate-inn.com,徐照雄,"商務旅館, ,",48 間,2500 ~ 5600,,2004/2/15,,
160,愛麗西施旅館,ALICE HOTEL ,AILI西市???,04 - 22300598 ,04 - 22381966 ,臺中市北區進化路632號,"No.632, Jinhua Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",第632北路、台中、台??進化 ,合法 營業,,,施政夫,"一般旅館, ,",30 間,1380 ~ 5000,,2004/9/25,,3張(2014/09/05)
198,沃夫汽車旅館,沃夫汽車旅館 ,沃夫汽車旅館,04 - 22926015 ,04 - 22925121 ,臺中市北區漢口路3段96之5號1、2樓,沃夫汽車旅館,沃夫汽車旅館 ,合法 營業,,,吳文龍,"汽車旅館, ,",20 間,1000 ~ 1400,,2007/4/12,,3張(2014/09/09)
303,馥品大飯店,FULL SPRING HOTEL ,??????????,04 - 22980080 ,04 - 22980090 ,臺中市北區漢口路四段86號B2-12樓,"B2-12F., No.86, Sec. 4, Hankou Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?漢口路四段86? ,合法 營業,http://www.full-spring.com,service@full-spring.com,陳照美,"一般旅館,商務旅館,,",121 間,2500 ~ 8000,,2013/2/1,,
13,車王大飯店,KING CAR HOTEL ,車王大飯店???　??　???,04 - 22061515 ,04 - 22063965 ,"臺中市北區精武路590號,柳川東路4段13號6樓1-24,7樓1-24","1,2,6,7F., No.13, Sec. 4, Liuchuan E. Rd., North District, Taichung City 404, Taiwan (R.O.C.)",台中市北?精武路590? ,合法 營業,,,黃進益,"一般旅館, ,",48 間,960 ~ 2400,,2004/1/15,,
101,高苑旅館(中正店),Kao Yuan Hotel (Jhongjheng Store) ,高苑旅館(中正店)??　???　???,04 - 22261566 ,04 - 22261568 ,臺中市北區臺灣大道一段640號,"No.640, Sec. 1, Taiwan Blvd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?臺灣大道一段640? ,合法 營業,http://www.kaoyuan.com.tw/b.htm,services@kaoyuan.com.tw,高清貴,"商務旅館, ,",40 間,2500 ~ 4200,座落於台中市鬧區，鄰近商圈、百貨公司ˋ觀光夜市ˋ辦公室，從高速公路直達只需10分鐘，南下北上往來交通便捷ˋ省時,2004/3/25,,3張(2014/09/05)
64,富比世大飯店,FORBEST HOTEL ,富比世大飯店,04 - 22059911 ,04 - 22059955 ,臺中市北區學士路181號B1-7樓,"B1-7F., No.181, Xueshi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?學士路181? ,合法 營業,,,簡豐年,"一般旅館, ,",76 間,960 ~ 1960,,2007/7/3,,3張(2014/09/05)
307,西悠飯店 台中店 CU HOTEL(3星),CU HOTEL TAICHUNG ,西悠???台中店,04 - 22035666 ,04 - 22056777 ,"臺中市北區賴村里進化北路427,429,431號","No.431, Jinhua N. Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?進化北路427? ,合法 營業,http://www.toongmao.com.tw,tca@uniongo.com.tw,蔡進祥,"一般旅館,,",112 間,2100 ~ 8000,中清交流道，74快捷道路，新烏日高鐵站，台中火車站，科博館，大坑風景區，逢甲夜市，綠園道,2013/5/16,2013/4/19,
295,台中一中時尚商旅,Taichung One Chung Business Hotel ,台中一中時尚商旅,04 - 22371666 ,04 - 22371669 ,臺中市北區雙十路2段92號7-11樓,"7-11F., No.92, Sec. 2, Shuangshi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)",台中市北?雙十路2段92?7-11樓 ,合法 營業,http://www.t-onehotel.com.tw,service@t-onehotel.com.tw,陳富雄,"一般旅館,商務旅館,,",103 間,1600 ~ 5600,台中火車站出口右轉往建國路→雙十路一段→雙十路二段→即可抵達。 國道一號→下大雅交流道→往台中市區方向前進→中清路→健行路左轉→雙十路二段→即可抵達。 國道一號→下台中交流道→往台中市區方向，直行中港路→左轉健行路→直行至雙十路二段→即可抵達。 公車路線停靠站－監理站，可搭乘 ．仁友客運：１．２１．３１．１０５ ．台中客運：８．１４．１５．１６．１０２．１３２．１３６ 鄰近一中商圈、台中火車站、台中體育場、中友百貨、台中公園。,2012/6/14,,
10,成尼斯汽車旅館,A nice motel ,素敵?????,04 - 36026168 ,? ,臺中市西屯區上安路175號,"No. 175 Tun District, Taichung City on road safety",175?敦煌地?、台中市交通安全上? ,合法 營業,,,吳炫煥,"汽車旅館, ,",25 間,1600 ~ 3500,,2004/1/15,,
